,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
351,Miro Heiskanen\heiskmi01,20,DAL,D,68,1059,1015,51.1,2.5,757,737,50.7,2.0,10.8,92.0,102.7,51.5,48.5,23:44,19:14,42,79,5.7,333,48.9
352,Darren Helm\helmda01,33,DET,C/LW,68,538,605,47.1,0.7,399,437,47.7,1.5,6.6,90.7,97.3,39.3,60.7,13:44,11:53,24,30,-4.9,154,66.2
353,Adam Henrique\henriad01,29,ANA,C,71,825,762,52.0,4.9,616,581,51.5,4.2,11.6,86.9,98.5,50.0,50.0,16:52,13:38,26,32,-0.1,281,60.5
354,Tomas Hertl\hertlto01,26,SJS,C,48,576,505,53.3,4.3,410,374,52.3,4.0,12.4,80.7,93.1,49.6,50.4,18:27,13:52,25,18,1.3,198,59.1
355,Joe Hicketts\hickejo01,23,DET,D,6,60,68,46.9,-4.2,48,48,50.0,-0.5,8.6,80.0,88.6,56.7,43.3,18:17,15:56,2,3,-0.1,12,50.0
356,Matthew Highmore\highmma01,23,CHI,LW,36,202,232,46.5,-3.2,143,180,44.3,-5.2,11.2,91.5,102.7,42.5,57.5,9:49,9:22,15,9,-3.1,61,57.4
357,Vinnie Hinostroza\hinosvi01,25,ARI,C,68,658,700,48.5,-0.1,476,515,48.0,-0.6,8.5,91.4,99.9,43.6,56.4,13:06,12:03,30,20,-1.4,209,63.2
358,Roope Hintz\hintzro01,23,DAL,LW,60,604,610,49.8,0.8,432,452,48.9,0.3,9.7,91.3,101.0,56.3,43.7,14:44,12:18,23,34,2.2,208,57.7
359,Taro Hirose\hirosta01,23,DET,LW,26,182,220,45.3,-2.0,140,158,47.0,-0.4,3.9,87.9,91.8,49.2,50.8,12:33,10:04,6,20,-4.5,39,53.8
360,Nico Hischier\hischni01,21,NJD,C,58,590,695,45.9,-1.0,455,505,47.4,0.1,11.1,87.0,98.1,49.3,50.7,18:03,14:10,42,28,-6.0,197,62.4
361,Niklas Hjalmarsson\hjalmni01,32,ARI,D,27,320,393,44.9,-5.9,237,285,45.4,-4.8,6.9,92.7,99.6,47.1,52.9,18:46,15:54,11,20,-3.6,39,46.2
362,Mike Hoffman\hoffmmi02,30,FLA,C/LW,69,705,644,52.3,3.2,508,488,51.0,1.3,12.2,86.9,99.1,61.1,38.9,16:50,13:02,31,52,-2.2,414,51.7
363,Nick Holden\holdeni01,32,VEG,D,61,846,651,56.5,1.9,629,493,56.1,1.0,9.0,87.0,96.0,54.6,45.4,18:51,16:52,26,35,12.5,204,49.5
364,Justin Holl\hollju01,28,TOR,D,68,915,860,51.5,-0.6,693,627,52.5,1.6,11.1,90.0,101.0,43.8,56.2,18:31,16:23,21,59,5.2,185,48.1
365,Korbinian Holzer\holzeko01,31,TOT,D,49,420,631,40.0,-9.5,310,456,40.5,-9.0,8.5,92.2,100.7,43.7,56.3,16:02,14:10,2,28,-8.0,75,52.0
366,Patric Hornqvist\hornqpa01,33,PIT,RW,52,484,496,49.4,-1.5,384,366,51.2,0.1,11.9,90.6,102.6,52.8,47.2,15:56,12:35,12,8,1.5,234,71.8
367,Bo Horvat\horvabo01,24,VAN,C,69,870,905,49.0,0.8,641,661,49.2,0.2,11.4,86.3,97.7,43.4,56.6,19:44,15:24,28,27,-3.5,274,65.0
368,Brett Howden\howdebr01,21,NYR,C,70,508,753,40.3,-7.8,367,541,40.4,-8.4,9.4,89.6,99.0,46.3,53.7,13:09,10:48,25,25,-9.3,98,65.3
369,Filip Hronek\hronefi01,22,DET,D,65,807,915,46.9,1.1,594,694,46.1,0.1,10.6,84.8,95.4,45.1,54.9,23:54,18:07,18,76,-12.2,257,48.6
370,Jonathan Huberdeau\huberjo01,26,FLA,LW,69,839,779,51.9,2.9,641,604,51.5,2.0,14.4,86.6,101.0,57.8,42.2,18:46,14:58,42,70,-0.1,276,55.1
371,Charles Hudon\hudonch01,25,MTL,LW,15,116,103,53.0,-4.3,82,77,51.6,-3.7,1.8,91.2,93.0,56.8,43.2,11:32,10:17,5,2,-0.7,42,52.4
372,Cameron Hughes\hugheca01,23,BOS,C,1,5,9,35.7,-5.2,4,4,50.0,10.6,0.0,66.7,66.7,12.5,87.5,9:53,9:18,0,0,-0.2,1,0.0
373,Jack Hughes\hugheja03,18,NJD,C,61,547,649,45.7,0.9,415,491,45.8,0.0,6.0,88.7,94.7,59.5,40.5,15:52,12:36,42,53,-3.9,208,59.1
374,Quinn Hughes\hughequ01,20,VAN,D,68,992,891,52.7,6.0,743,668,52.7,5.1,12.2,85.5,97.7,58.4,41.6,21:53,17:47,35,60,0.9,312,40.4
375,Brad Hunt\huntbr01,31,MIN,D,59,601,606,49.8,0.6,446,437,50.5,1.4,9.6,88.3,97.9,52.6,47.4,15:08,12:38,15,14,2.0,183,57.9
376,Dryden Hunt\huntdr01,24,FLA,LW,21,166,167,49.8,-1.4,133,121,52.4,0.8,6.9,90.4,97.2,27.4,72.6,10:30,10:12,4,4,0.9,48,68.8
377,Ben Hutton\huttobe01,26,LAK,D,65,973,772,55.8,3.6,712,577,55.2,3.4,8.9,89.0,97.9,46.8,53.2,18:16,16:43,12,41,8.0,224,50.9
378,Zach Hyman\hymanza01,27,TOR,C,51,738,672,52.3,1.1,549,502,52.2,1.6,14.7,88.5,103.2,52.5,47.5,19:06,16:05,32,16,6.2,189,56.1
379,Alex Iafallo\iafalal01,26,LAK,C,70,836,794,51.3,-2.5,619,593,51.1,-2.1,11.7,88.2,99.9,50.3,49.7,18:56,14:59,18,11,-2.2,231,61.5
380,Matt Irwin\irwinma01,32,TOT,D,36,388,395,49.6,-1.8,305,292,51.1,-0.5,6.6,86.8,93.4,48.6,51.4,14:28,13:17,8,13,-5.1,125,46.4
381,Joshua Jacobs\jacobjo01,23,NJD,D,2,24,37,39.3,-5.5,16,23,41.0,-3.1,8.3,100.0,108.3,41.7,58.3,16:36,16:15,1,0,-0.1,4,75.0
382,Mark Jankowski\jankoma01,25,CGY,C,56,359,398,47.4,-4.1,264,299,46.9,-3.8,5.7,89.5,95.2,42.1,57.9,11:06,8:42,32,20,-2.6,81,46.9
383,Mattias Janmark\janmama02,27,DAL,C,62,594,572,50.9,1.5,436,417,51.1,2.3,7.2,90.1,97.3,52.9,47.1,14:37,12:18,27,31,5.3,152,57.2
384,Calle Jarnkrok\jarnkca01,28,NSH,C,64,651,606,51.8,0.8,490,453,52.0,0.1,9.2,91.0,100.3,55.8,44.2,15:56,12:27,19,11,-3.6,231,58.9
385,Christian Jaros\jarosch01,23,OTT,D,13,77,91,45.8,-3.4,54,69,43.9,-5.1,13.9,90.0,103.9,58.6,41.4,10:31,9:46,1,5,-1.1,16,31.3
386,Boone Jenner\jennebo01,26,CBJ,C,70,774,899,46.3,-3.3,590,640,48.0,-3.3,7.7,89.8,97.5,45.5,54.5,18:07,14:17,24,28,-2.8,271,66.1
387,Nick Jensen\jenseni02,29,WSH,D,68,810,797,50.4,-2.3,597,593,50.2,-2.4,9.3,90.4,99.7,47.5,52.5,17:49,15:20,26,48,-0.1,148,41.2
388,Ryan Johansen\johanry01,27,NSH,C,68,786,707,52.6,2.4,583,518,53.0,1.9,10.7,88.4,99.1,53.4,46.6,17:03,13:19,38,24,-1.9,158,63.9
389,Marcus Johansson\johanma03,29,BUF,C/W,60,629,680,48.1,-1.1,475,530,47.3,-1.4,10.0,88.0,98.0,44.6,55.4,17:09,14:20,15,24,-3.1,153,56.9
390,Stephen Johns\johnsst03,27,DAL,D,17,220,223,49.7,-2.0,151,164,47.9,-3.9,10.6,91.5,102.1,50.0,50.0,17:40,16:55,5,11,-1.9,65,46.2
391,Adam Johnson\johnsad01,25,PIT,C,7,26,33,44.1,-6.4,21,25,45.7,-5.4,18.8,82.4,101.1,25.0,75.0,6:42,6:39,1,1,0.8,6,83.3
392,Erik Johnson\johnser01,31,COL,D,59,838,855,49.5,-3.1,599,635,48.5,-3.9,11.5,90.5,102.1,47.5,52.5,21:01,17:13,32,27,-2.3,203,48.8
393,Jack Johnson\johnsja02,33,PIT,D,67,824,926,47.1,-5.5,599,704,46.0,-7.7,9.8,90.2,100.0,46.2,53.8,19:28,17:09,15,23,-8.1,144,43.8
394,Luke Johnson\johnslu01,25,MIN,C,3,18,26,40.9,-7.9,14,19,42.4,-7.0,0.0,80.0,80.0,33.3,66.7,11:35,10:24,0,0,-0.9,1,100.0
395,Tyler Johnson\johnsty01,29,TBL,C,65,634,601,51.3,-0.4,474,454,51.1,0.2,11.4,92.9,104.2,51.8,48.2,14:33,12:13,14,20,5.5,190,59.5
396,Andreas Johnsson\johnsan01,25,TOR,LW,43,510,436,53.9,0.9,358,330,52.0,-0.5,11.2,88.7,99.9,56.7,43.3,15:45,13:17,13,20,3.0,127,61.4
397,Ross Johnston\johnsro02,25,NYI,LW,32,159,218,42.2,-4.2,112,155,41.9,-5.0,10.1,93.0,103.1,47.8,52.2,7:59,7:57,2,4,-0.8,25,64.0
398,Henri Jokiharju\jokihhe01,20,BUF,D,69,762,774,49.6,0.3,588,598,49.6,1.0,9.8,89.3,99.1,47.1,52.9,17:13,15:55,7,30,-1.0,151,51.7
399,Caleb Jones\jonesca01,22,EDM,D,43,426,451,48.6,1.4,310,335,48.1,0.2,11.8,88.3,100.1,50.7,49.3,14:08,13:37,8,26,-1.8,79,48.1
400,Max Jones\jonesma03,21,ANA,LW,59,563,567,49.8,3.0,402,426,48.6,1.3,7.3,90.9,98.2,53.8,46.2,14:16,12:38,19,32,-1.6,176,58.0
401,Seth Jones\jonesse01,25,CBJ,D,56,849,900,48.5,0.4,623,644,49.2,-1.3,10.6,90.3,100.9,57.3,42.7,25:17,19:48,29,37,-0.6,244,51.6
402,Mathieu Joseph\josepma01,22,TBL,RW,37,294,269,52.2,-0.3,219,210,51.0,-0.7,8.4,90.4,98.8,53.3,46.7,11:31,10:33,17,12,-0.6,72,48.6
403,Roman Josi\josiro01,29,NSH,D,69,1302,1145,53.2,3.8,960,818,54.0,3.9,11.9,90.2,102.1,50.9,49.1,25:47,20:15,34,68,9.8,482,53.9
404,Tyson Jost\jostty01,21,COL,C,67,559,546,50.6,-1.4,390,386,50.3,-1.4,10.6,92.2,102.8,45.8,54.2,12:46,10:38,17,12,3.4,189,60.8
405,Tomas Jurco\jurcoto01,27,EDM,RW,12,88,86,50.6,2.7,66,55,54.5,5.8,9.1,88.6,97.7,63.6,36.4,9:59,9:44,6,2,0.6,20,35.0
406,Nazem Kadri\kadrina01,29,COL,C,51,574,539,51.6,0.5,424,401,51.4,0.7,13.6,90.5,104.0,53.2,46.8,17:26,13:10,21,28,0.5,226,58.8
407,Dominik Kahun\kahundo01,24,TOT,C,56,507,484,51.2,0.0,375,357,51.2,-0.2,13.7,88.0,101.8,55.1,44.9,13:17,12:11,18,9,1.3,122,71.3
408,Kaapo Kakko\kakkoka01,18,NYR,RW,66,603,783,43.5,-3.9,432,591,42.2,-6.4,6.3,89.7,96.0,51.4,48.6,14:17,12:02,35,21,-8.9,196,55.6
409,Vladislav Kamenev\kamenvl01,23,COL,LW,38,211,218,49.2,-3.2,151,152,49.8,-2.4,6.5,90.1,96.5,53.6,46.4,8:59,7:42,18,7,-0.5,64,50.0
410,David Kampf\kampfda01,25,CHI,C,70,535,582,47.9,-1.0,398,430,48.1,-0.2,7.5,90.1,97.6,38.0,62.0,13:40,11:25,37,17,-5.2,140,64.3
411,Steven Kampfer\kampfst01,31,BOS,D,10,92,90,50.5,0.9,65,61,51.6,1.8,10.9,92.3,103.2,60.0,40.0,13:38,12:49,4,1,0.9,28,46.4
412,Evander Kane\kaneev01,28,SJS,LW,64,756,734,50.7,0.3,550,530,50.9,1.2,10.8,85.0,95.8,50.8,49.2,19:32,15:06,45,51,-3.5,347,62.2
413,Patrick Kane\kanepa01,31,CHI,RW,70,933,968,49.1,0.4,686,720,48.8,0.7,14.0,89.9,103.9,57.1,42.9,21:20,17:28,43,41,-5.8,464,59.3
414,Kasperi Kapanen\kapanka01,23,TOR,RW,69,713,658,52.0,0.3,505,503,50.1,-1.3,11.4,89.0,100.4,50.2,49.8,15:47,12:45,36,29,-4.0,214,56.5
415,Erik Karlsson\karlser01,29,SJS,D,56,847,746,53.2,4.8,633,562,53.0,5.2,10.2,85.0,95.1,51.8,48.2,24:31,18:20,52,68,2.1,245,49.4
416,Melker Karlsson\karlsme01,29,SJS,C,61,378,460,45.1,-5.2,276,338,45.0,-5.0,10.3,89.0,99.3,51.8,48.2,12:15,9:45,26,11,-5.2,94,59.6
417,William Karlsson\karlswi01,27,VEG,C,63,848,694,55.0,1.0,616,513,54.6,0.2,11.1,88.9,100.0,54.8,45.2,18:52,14:57,54,37,7.4,251,55.0
418,David Kase\kaseda01,23,PHI,RW,6,26,40,39.4,-10.6,20,34,37.0,-13.1,7.1,96.0,103.1,50.0,50.0,9:47,9:33,2,1,0.0,10,50.0
419,Ondrej Kase\kaseon01,24,TOT,RW,55,632,572,52.5,3.3,462,439,51.3,1.9,9.3,88.7,98.0,57.5,42.5,16:33,13:36,41,30,1.0,250,57.6
420,Zack Kassian\kassiza01,29,EDM,RW,59,684,715,48.9,2.1,528,541,49.4,2.0,13.5,87.5,101.0,54.3,45.7,15:40,15:10,26,45,3.2,164,60.4
421,Martin Kaut\kautma01,20,COL,RW,9,69,58,54.3,2.4,47,44,51.6,0.2,9.4,84.0,93.4,51.1,48.9,10:08,9:19,2,0,-0.2,25,52.0
422,Duncan Keith\keithdu01,36,CHI,D,61,908,942,49.1,0.3,668,718,48.2,-0.2,11.3,90.0,101.2,54.2,45.8,24:23,19:16,42,74,-5.2,256,43.4
423,Clayton Keller\kellecl01,21,ARI,C,70,772,733,51.3,3.9,569,558,50.5,2.9,8.6,89.7,98.4,62.5,37.5,16:18,13:21,34,32,-0.4,296,62.2
424,Joel Kellman\kellmjo01,25,SJS,F,31,192,228,45.7,-5.9,142,168,45.8,-6.0,8.0,91.4,99.4,43.7,56.3,11:35,10:25,8,8,-1.0,50,62.0
425,Adrian Kempe\kempead01,23,LAK,LW,69,752,594,55.9,3.3,563,445,55.9,3.9,6.3,87.5,93.8,52.3,47.7,16:01,12:35,24,27,3.9,262,56.5
426,Michal Kempny\kempnmi01,29,WSH,D,58,790,793,49.9,-2.7,570,580,49.6,-3.0,15.0,89.9,104.9,49.4,50.6,18:38,16:56,13,35,-1.5,170,42.9
427,Alexander Kerfoot\kerfoal01,25,TOR,C,65,688,633,52.1,0.6,513,484,51.5,0.4,12.9,86.6,99.5,49.4,50.6,14:46,13:04,28,33,-5.0,152,57.9
428,Phil Kessel\kesseph01,32,ARI,RW,70,800,755,51.4,4.1,582,585,49.9,2.1,7.8,88.6,96.5,61.5,38.5,17:09,13:43,19,41,0.4,270,56.7
429,Jujhar Khaira\khairju01,25,EDM,LW,64,455,549,45.3,-2.7,333,389,46.1,-2.3,6.8,87.5,94.3,38.9,61.1,12:32,10:37,15,36,-9.5,119,58.0
430,Alex Killorn\killoal01,30,TBL,C/LW,68,705,634,52.7,0.9,509,481,51.4,0.3,14.7,90.9,105.6,48.3,51.7,17:56,12:55,27,26,-0.4,209,62.2
431,Joel Kiviranta\kivirjo01,23,DAL,F,11,94,62,60.3,14.6,72,48,60.0,13.8,2.0,94.4,96.4,67.8,32.2,10:39,10:10,5,3,0.4,25,52.0
432,Oscar Klefbom\klefbos01,26,EDM,D,62,862,996,46.4,-1.8,646,699,48.0,-0.4,11.8,87.9,99.7,51.7,48.3,25:24,18:53,36,58,-1.8,314,50.6
433,John Klingberg\klingjo01,27,DAL,D,58,980,900,52.1,3.8,712,674,51.4,3.1,8.4,90.1,98.5,55.3,44.7,22:10,19:09,24,71,1.7,288,41.7
434,Nikolai Knyzhov\knyzhni01,21,SJS,D,3,3,18,14.3,-32.0,0,11,0.0,-44.8,,87.5,,60.0,40.0,10:49,9:52,1,2,-0.8,3,0.0
435,Slater Koekkoek\koekksl01,25,CHI,D,42,496,448,52.5,4.0,362,326,52.6,4.4,9.9,90.6,100.4,46.3,53.7,16:45,15:23,9,27,2.1,117,40.2
436,Mikko Koivu\koivumi01,36,MIN,C,55,550,544,50.3,0.8,408,398,50.6,1.1,9.9,90.8,100.8,43.0,57.0,15:34,12:02,29,13,5.7,114,64.9
437,Otto Koivula\koivuot01,21,NYI,LW,12,52,79,39.7,-8.7,35,57,38.0,-11.2,6.9,95.0,101.9,31.3,68.8,7:55,7:49,2,3,-1.0,5,80.0
438,Keegan Kolesar\koleske01,22,VEG,RW,1,5,9,35.7,-26.6,4,6,40.0,-25.4,0.0,100.0,100.0,50.0,50.0,12:06,12:06,0,0,-0.4,1,100.0
439,Leo Komarov\komarle01,33,NYI,C,48,355,459,43.6,-3.7,240,325,42.5,-5.1,9.6,92.2,101.7,37.7,62.3,12:36,10:49,13,16,-3.2,65,70.8
440,Travis Konecny\konectr01,22,PHI,C,66,792,627,55.8,5.9,591,481,55.1,5.3,10.3,87.7,98.1,49.4,50.6,16:48,13:50,29,47,8.3,240,58.8
441,Anze Kopitar\kopitan01,32,LAK,C,70,953,884,51.9,-1.8,698,670,51.0,-2.3,11.9,88.8,100.7,49.9,50.1,21:02,16:22,39,49,-0.9,243,55.6
442,Egor Korshkov\korsheg01,23,TOR,F,1,9,8,52.9,15.9,6,8,42.9,5.8,33.3,100.0,133.3,0.0,100.0,10:08,10:08,1,0,-0.5,1,100.0
443,Klim Kostin\kostikl01,20,STL,C; LW,4,21,26,44.7,-9.5,15,24,38.5,-15.4,8.3,100.0,108.3,35.7,64.3,8:32,8:31,0,1,-0.4,7,71.4
444,Jesperi Kotkaniemi\kotkaje01,19,MTL,C,36,363,314,53.6,-0.7,251,241,51.0,-3.6,8.0,88.2,96.2,61.4,38.6,12:60,11:08,14,21,-2.1,87,63.2
445,Ilya Kovalchuk\kovalil01,36,TOT,LW,46,543,469,53.7,0.8,409,338,54.8,2.0,10.6,86.9,97.5,52.6,47.4,16:58,14:25,11,25,3.7,186,61.8
446,Chris Kreider\kreidch01,28,NYR,LW,63,727,779,48.3,3.2,530,599,46.9,0.5,13.7,90.6,104.3,49.2,50.8,17:15,13:45,22,61,-2.0,258,60.5
447,David Krejci\krejcda01,33,BOS,C,61,734,696,51.3,1.5,547,521,51.2,1.1,11.9,91.8,103.8,60.0,40.0,17:10,15:01,31,37,-0.9,163,50.9
448,Torey Krug\krugto01,28,BOS,D,61,853,666,56.2,6.5,618,505,55.0,5.0,10.3,86.3,96.6,67.4,32.6,20:29,16:21,22,48,5.8,273,52.7
449,Dominik Kubalík\kubaldo01,24,CHI,LW,68,673,669,50.1,1.8,506,496,50.5,2.8,14.6,87.0,101.6,49.2,50.8,14:22,12:22,23,25,-3.1,270,58.1
450,Nikita Kucherov\kucheni01,26,TBL,RW,68,964,723,57.1,6.9,720,539,57.2,8.0,14.3,89.6,104.0,59.6,40.4,18:52,14:55,30,59,8.7,386,54.4
451,Karson Kuhlman\kuhlmka01,24,BOS,C,25,233,195,54.4,2.5,176,143,55.2,3.3,4.7,97.1,101.8,60.0,40.0,12:32,11:46,2,5,1.4,75,60.0
452,Tom Kuhnhackl\kuhnhto01,28,NYI,RW,28,196,258,43.2,-3.4,139,174,44.4,-2.4,6.7,88.4,95.1,49.7,50.3,11:18,9:44,4,11,-3.2,46,60.9
453,Dean Kukan\kukande01,26,CBJ,D,33,344,343,50.1,1.0,259,250,50.9,-0.8,7.1,88.0,95.2,60.4,39.6,15:58,14:40,7,14,-0.1,90,56.7
454,Brett Kulak\kulakbr01,26,MTL,D,56,842,624,57.4,2.7,610,468,56.6,2.4,8.5,88.4,96.9,51.4,48.6,17:08,16:47,13,36,9.1,189,53.4
455,Dmitry Kulikov\kulikdm01,29,WPG,D,51,744,700,51.5,2.0,545,548,49.9,1.3,9.1,89.7,98.8,54.0,46.0,20:01,18:31,16,55,-6.0,141,38.3
456,Luke Kunin\kuninlu01,22,MIN,C,63,612,745,45.1,-5.4,461,526,46.7,-3.8,10.7,86.9,97.6,42.4,57.6,15:28,13:15,9,15,-2.3,238,53.8
457,Janne Kuokkanen\kuokkja01,21,NJD,C/LW,1,4,8,33.3,-5.1,3,5,37.5,-10.5,0.0,80.0,80.0,33.3,66.7,12:04,11:51,0,1,0.2,0,
458,Sean Kuraly\kuralse01,27,BOS,C,69,527,623,45.8,-5.8,412,462,47.1,-4.3,10.3,89.2,99.4,31.7,68.3,13:17,11:31,28,27,-4.6,166,57.2
459,Evgeny Kuznetsov\kuzneev01,27,WSH,C,63,669,756,46.9,-6.2,501,583,46.2,-7.2,15.3,86.9,102.2,51.1,48.9,17:51,14:34,22,45,-3.1,187,69.0
460,Oliver Kylington\kylinol01,22,CGY,D,48,495,508,49.4,-2.0,367,372,49.7,-0.6,7.3,89.9,97.2,53.5,46.5,13:42,13:14,8,29,1.1,96,38.5
461,Jordan Kyrou\kyroujo01,21,STL,C,28,240,174,58.0,6.2,191,124,60.6,8.0,9.5,86.5,96.0,59.6,40.4,10:52,10:13,13,6,4.9,66,59.1
462,Joel L'Esperance\lespejo01,24,DAL,RW,3,13,12,52.0,3.3,8,11,42.1,-6.2,20.0,87.5,107.5,50.0,50.0,7:21,6:11,1,2,-0.2,4,50.0
463,Kevin Labanc\labanke01,24,SJS,RW,70,819,663,55.3,6.5,597,502,54.3,5.8,8.2,82.6,90.8,54.2,45.8,16:04,13:09,33,33,0.9,304,57.9
464,Andrew Ladd\laddan01,34,NYI,LW,4,28,35,44.4,-8.4,22,29,43.1,-7.4,11.1,100.0,111.1,44.8,55.2,11:58,11:42,0,1,0.2,7,71.4
465,Paul Ladue\laduepa01,27,LAK,D,2,25,12,67.6,11.5,16,12,57.1,0.9,0.0,100.0,100.0,75.0,25.0,12:48,12:33,1,1,0.2,6,33.3
466,Sam Lafferty\laffesa01,24,PIT,C/LW,50,289,306,48.6,-2.3,219,227,49.1,-2.0,10.1,93.8,103.9,35.9,64.1,9:37,8:57,17,12,-2.6,85,65.9
467,William Lagesson\lageswi01,23,EDM,D,8,67,74,47.5,-2.1,49,55,47.1,-2.3,5.7,85.4,91.1,45.1,54.9,11:52,10:31,0,7,-0.3,19,42.1
468,Patrik Laine\lainepa01,21,WPG,RW,68,851,899,48.6,-0.4,634,730,46.5,-1.8,14.6,89.5,104.1,58.4,41.6,19:25,16:07,41,57,-8.8,416,54.3
469,Maxime Lajoie\lajoima01,22,OTT,D,6,33,24,57.9,12.5,21,18,53.8,8.8,20.0,76.9,96.9,50.0,50.0,7:49,7:38,0,0,0.6,5,60.0
470,Gabriel Landeskog\landega01,27,COL,LW,54,746,675,52.5,1.0,559,484,53.6,2.7,12.4,87.9,100.3,54.1,45.9,20:02,15:49,39,25,7.0,254,57.1
471,Dylan Larkin\larkidy01,23,DET,C,71,946,939,50.2,5.8,696,698,49.9,5.4,12.6,85.2,97.8,50.0,50.0,21:14,17:09,43,81,-1.3,385,57.9
472,Adam Larsson\larssad01,27,EDM,D,49,645,702,47.9,0.9,487,510,48.8,1.6,10.8,89.9,100.7,44.0,56.0,19:50,17:50,16,35,-3.1,127,48.0
473,Jacob Larsson\larssja01,22,ANA,D,60,576,774,42.7,-7.1,423,585,42.0,-8.2,12.1,90.0,102.1,45.8,54.2,16:08,14:42,6,31,-6.0,125,46.4
474,Johan Larsson\larssjo02,27,BUF,LW/C,62,525,508,50.8,2.4,395,390,50.3,2.5,11.5,90.8,102.3,38.9,61.1,14:54,12:47,24,23,-0.4,99,60.6
475,Brian Lashoff\lashobr01,29,DET,D,9,73,73,50.0,0.8,62,53,53.9,2.8,7.5,97.1,104.6,51.8,48.2,14:33,13:13,0,2,0.9,11,54.5
476,Scott Laughton\laughsc01,25,PHI,C,49,428,499,46.2,-7.4,314,363,46.4,-6.8,15.1,90.1,105.2,44.9,55.1,14:36,12:43,22,21,1.7,122,60.7
477,Jeremy Lauzon\lauzoje01,22,BOS,D,19,182,207,46.8,-4.9,136,144,48.6,-3.4,9.5,92.8,102.3,55.3,44.7,15:25,13:05,3,6,1.2,33,60.6
478,Curtis Lazar\lazarcu01,24,BUF,C/RW,38,225,281,44.5,-6.5,175,206,45.9,-4.3,10.5,88.0,98.5,41.3,58.7,11:50,10:01,13,10,-4.0,60,55.0
479,Nick Leddy\leddyni01,28,NYI,D,60,848,1032,45.1,-2.9,619,755,45.1,-3.7,11.5,90.7,102.2,50.3,49.7,21:07,18:43,17,52,-4.6,180,40.0
480,Anders Lee\leean01,29,NYI,C,68,969,924,51.2,6.2,704,651,52.0,6.8,12.5,89.1,101.5,56.4,43.6,18:18,15:44,24,44,7.5,303,64.4
481,Artturi Lehkonen\lehkoar01,24,MTL,LW,70,775,693,52.8,-2.4,539,507,51.5,-3.2,9.3,90.0,99.2,54.6,45.4,15:26,12:46,30,22,4.8,250,56.0
482,Brendan Leipsic\leipsbr01,25,WSH,LW,61,425,378,52.9,0.6,308,271,53.2,1.2,10.1,90.2,100.3,45.3,54.7,9:10,8:37,8,24,3.8,99,49.5
483,Josh Leivo\leivojo01,26,VAN,LW,36,390,369,51.4,1.8,283,274,50.8,0.4,10.0,88.9,98.8,50.2,49.8,15:01,12:51,11,15,0.6,144,47.9
484,Brendan Lemieux\lemiebr01,23,NYR,LW,59,476,636,42.8,-3.9,367,443,45.3,-1.8,7.4,89.1,96.5,46.9,53.1,12:52,10:53,15,30,-5.7,169,50.9
485,Otto Leskinen\leskiot01,22,MTL,D,5,29,39,42.6,-11.4,20,32,38.5,-17.4,12.5,95.5,108.0,47.8,52.2,10:18,10:17,1,5,-0.2,6,33.3
486,Kris Letang\letankr01,32,PIT,D,61,1022,926,52.5,2.9,761,698,52.2,1.7,11.4,87.0,98.4,51.2,48.8,25:44,19:59,31,80,3.9,340,52.1
487,Mark Letestu\letesma01,34,WPG,C,7,42,58,42.0,-9.3,33,38,46.5,-3.4,4.3,95.8,100.2,32.4,67.6,10:36,9:28,0,1,-0.6,8,62.5
488,Maxim Letunov\letunma01,23,SJS,C,3,24,14,63.2,14.8,17,9,65.4,17.2,11.1,83.3,94.4,76.9,23.1,9:05,9:05,2,1,0.3,4,75.0
489,Tyler Lewington\lewinty01,25,WSH,D,6,44,51,46.3,-2.0,28,32,46.7,-3.6,6.7,87.0,93.6,52.9,47.1,10:10,9:46,1,3,-0.9,6,33.3
490,Trevor Lewis\lewistr01,33,LAK,C,56,499,452,52.5,-0.1,387,340,53.2,1.1,8.2,87.8,96.0,51.0,49.0,11:54,10:58,11,14,-1.0,150,61.3
491,Jakob Lilja\liljaja01,26,CBJ,F,37,216,302,41.7,-6.5,158,207,43.3,-6.3,10.7,95.4,106.1,43.6,56.4,9:54,9:34,9,8,-1.0,43,53.5
492,Timothy Liljegren\liljeti01,20,TOR,D,11,68,86,44.2,-6.1,47,69,40.5,-9.8,8.1,81.4,89.5,54.1,45.9,10:18,9:43,0,6,-1.8,9,22.2
493,Oskar Lindblom\lindbos01,23,PHI,LW,30,345,285,54.8,3.6,251,210,54.4,4.6,12.1,88.4,100.5,55.7,44.3,17:37,13:52,15,13,2.5,125,58.4
494,Esa Lindell\lindees01,25,DAL,D,69,930,1081,46.2,-4.6,680,804,45.8,-5.0,11.2,90.7,101.9,44.8,55.2,23:24,18:22,31,62,-3.1,201,48.8
495,Ryan Lindgren\lindgry01,21,NYR,D,60,599,708,45.8,-2.0,445,514,46.4,-2.0,14.6,90.6,105.2,52.4,47.6,16:34,14:20,28,25,0.4,92,51.1
