,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
267,Alex Galchenyuk\galchal01,25,TOT,C,59,472,488,49.2,-1.7,340,358,48.7,-2.9,9.2,90.4,99.6,52.8,47.2,12:18,10:36,5,20,-1.2,141,61.0
268,Brendan Gallagher\gallabr01,27,MTL,RW,59,943,599,61.2,8.2,696,439,61.3,9.0,12.2,87.0,99.2,53.8,46.2,16:55,14:40,39,18,17.4,394,57.4
269,Dylan Gambrell\gambrdy01,23,SJS,C,50,354,404,46.7,-4.1,256,298,46.2,-4.5,12.6,87.1,99.7,44.6,55.4,11:57,10:01,11,17,-3.4,85,50.6
270,Jake Gardiner\gardija01,29,CAR,D,68,879,688,56.1,2.6,634,529,54.5,1.3,7.3,86.9,94.2,56.6,43.4,16:40,14:44,32,39,3.9,200,43.5
271,Rhett Gardner\gardnrh01,23,DAL,C/LW,8,39,46,45.9,-2.7,30,34,46.9,-1.5,11.1,90.9,102.0,26.9,73.1,10:08,8:45,1,3,-0.7,11,72.7
272,Conor Garland\garlaco01,23,ARI,RW,68,715,667,51.7,4.6,552,490,53.0,6.2,9.6,90.3,99.8,54.6,45.4,14:09,11:49,30,27,6.5,257,61.5
273,Adam Gaudette\gaudead01,23,VAN,C,59,454,532,46.0,-1.9,341,390,46.6,-1.9,12.8,87.9,100.6,58.7,41.3,12:23,10:42,23,15,-5.2,151,49.7
274,Johnny Gaudreau\gaudrjo01,26,CGY,LW,70,906,860,51.3,1.2,658,670,49.5,-0.1,10.6,88.5,99.1,58.0,42.0,18:47,15:34,40,71,2.7,349,59.9
275,Brendan Gaunce\gauncbr01,25,BOS,C,1,2,14,12.5,-31.2,2,12,14.3,-28.3,50.0,100.0,150.0,0.0,100.0,9:10,9:10,0,0,-0.3,1,0.0
276,Cameron Gaunce\gauncca01,29,TBL,D,3,27,25,51.9,0.7,22,18,55.0,3.0,23.5,84.6,108.1,62.5,37.5,11:52,11:22,0,0,0.5,7,71.4
277,Frederik Gauthier\gauthfr01,24,TOR,C,61,328,419,43.9,-9.1,248,311,44.4,-8.0,10.3,90.8,101.1,29.0,71.0,9:23,8:16,7,13,-3.5,63,66.7
278,Julien Gauthier\gauthju01,22,TOT,RW,17,104,125,45.4,-4.5,68,82,45.3,-6.2,13.6,90.9,104.5,60.0,40.0,8:17,8:03,3,7,-2.8,27,37.0
279,Vladislav Gavrikov\gavrivl01,24,CBJ,D,69,882,927,48.8,0.0,681,658,50.9,0.6,9.6,90.2,99.8,42.3,57.7,18:59,17:10,16,33,4.6,159,50.9
280,Morgan Geekie\geekimo01,21,CAR,C,2,17,12,58.6,3.2,14,9,60.9,6.0,33.3,87.5,120.8,58.3,41.7,11:47,8:54,1,0,0.9,5,80.0
281,Nathan Gerbe\gerbena01,32,CBJ,C,30,263,331,44.3,-2.9,215,223,49.1,1.2,9.5,85.8,95.3,49.2,50.8,13:45,12:42,4,12,1.9,81,67.9
282,Timothy Gettinger\gettiti01,21,NYR,LW,2,11,12,47.8,3.0,10,7,58.8,15.5,11.1,100.0,111.1,55.6,44.4,8:23,7:56,0,0,0.5,5,60.0
283,Ryan Getzlaf\getzlry01,34,ANA,C,69,866,903,49.0,1.0,665,681,49.4,1.5,11.0,87.7,98.7,46.1,53.9,18:43,15:13,53,76,1.1,272,52.9
284,Brian Gibbons\gibbobr02,31,CAR,C,15,99,112,46.9,-9.9,75,87,46.3,-9.6,1.7,87.1,88.8,46.5,53.5,9:46,9:00,8,7,-1.0,16,56.3
285,Dennis Gilbert\gilbede01,23,CHI,D,21,192,254,43.0,-4.9,139,188,42.5,-4.8,11.1,86.9,98.0,44.1,55.9,15:42,14:19,2,4,-6.0,19,63.2
286,John Gilmour\gilmojo01,26,BUF,D,4,41,50,45.1,-3.2,33,41,44.6,-2.4,0.0,93.1,93.1,31.3,68.8,17:03,15:40,0,3,-0.1,10,50.0
287,Mark Giordano\giordma01,36,CGY,D,60,913,830,52.4,2.9,672,623,51.9,3.5,10.9,89.7,100.6,49.1,50.9,23:53,18:13,36,51,4.5,349,45.0
288,Samuel Girard\girarsa01,21,COL,D,70,1079,987,52.2,1.3,771,736,51.2,0.1,10.3,90.0,100.3,53.7,46.3,21:19,18:27,38,39,4.3,247,38.9
289,Zemgus Girgensons\girgeze01,26,BUF,C,69,499,532,48.4,-1.1,376,408,48.0,-1.1,10.2,90.5,100.7,37.3,62.7,13:48,11:36,13,11,-4.7,144,59.0
290,Claude Giroux\giroucl01,32,PHI,C/RW,69,878,683,56.2,6.7,655,521,55.7,6.2,10.0,89.1,99.1,45.4,54.6,18:59,14:52,37,35,6.0,322,61.2
291,Cody Glass\glassco01,20,VEG,C,39,319,304,51.2,-1.7,230,227,50.3,-3.1,6.9,89.0,95.9,54.7,45.3,13:22,11:05,18,17,-0.9,84,60.7
292,Luke Glendening\glendlu01,30,DET,C,60,412,626,39.7,-6.9,308,446,40.8,-5.3,7.9,86.1,93.9,32.2,67.8,15:21,12:11,10,18,-13.3,123,61.8
293,Nikolay Goldobin\goldoni01,24,VAN,LW,1,1,10,9.1,-30.2,1,7,12.5,-27.5,0.0,100.0,100.0,100.0,0.0,8:37,8:37,0,0,-0.3,0,
294,Alex Goligoski\goligal01,34,ARI,D,70,1029,1097,48.4,0.2,747,800,48.3,0.1,10.5,90.3,100.8,49.3,50.7,23:03,18:28,7,53,-0.7,213,47.4
295,Cody Goloubef\golouco01,30,TOT,D,26,245,321,43.3,-6.6,173,236,42.3,-7.2,12.5,89.0,101.5,52.7,47.3,15:09,13:23,3,21,-4.1,43,41.9
296,Barclay Goodrow\goodrba01,26,TOT,RW,70,705,656,51.8,2.1,520,474,52.3,3.4,10.1,88.9,98.9,49.2,50.8,15:55,12:25,44,23,-0.9,161,63.4
297,Shayne Gostisbehere\gostish01,26,PHI,D,42,486,436,52.7,0.9,356,327,52.1,0.9,8.8,90.3,99.2,56.4,43.6,18:18,15:34,9,27,-3.2,148,49.3
298,Yanni Gourde\gourdya01,28,TBL,C,70,657,587,52.8,0.9,477,445,51.7,0.4,9.4,87.9,97.3,45.4,54.6,14:04,11:41,48,14,-0.2,176,62.5
299,Michael Grabner\grabnmi01,32,ARI,RW,46,290,418,41.0,-9.5,213,292,42.2,-8.2,9.4,89.0,98.4,31.4,68.6,12:22,9:50,31,11,-4.5,97,62.9
300,Markus Granlund\granlma01,26,EDM,C,34,237,252,48.5,1.6,166,171,49.3,1.9,6.0,91.9,97.9,39.3,60.7,10:50,9:20,11,7,0.7,43,60.5
301,Mikael Granlund\granlmi01,27,NSH,C,63,816,726,52.9,3.0,622,532,53.9,3.4,9.2,89.0,98.2,55.4,44.6,17:48,14:23,24,34,3.6,216,60.2
302,Derek Grant\grantde01,29,TOT,C,56,382,577,39.8,-10.4,292,432,40.3,-10.1,11.6,91.6,103.2,32.2,67.8,13:55,10:40,20,11,-4.2,152,61.8
303,Tyler Graovac\graovty01,26,VAN,C,8,24,32,42.9,-5.6,15,24,38.5,-9.0,0.0,88.2,88.2,33.3,66.7,6:16,5:15,1,2,-0.9,9,55.6
304,Kevin Gravel\graveke01,27,TOR,D,3,18,20,47.4,-2.4,12,12,50.0,2.0,0.0,100.0,100.0,54.5,45.5,11:05,8:46,0,1,0.1,3,66.7
305,Ryan Graves\gravery01,24,COL,D,69,880,861,50.5,-1.1,638,618,50.8,-0.4,14.3,91.8,106.1,49.7,50.3,18:57,15:46,19,40,5.4,262,51.1
306,Mike Green\greenmi03,34,TOT,D,50,607,701,46.4,-1.6,453,498,47.6,-0.4,6.9,85.6,92.5,48.1,51.9,20:53,18:23,12,41,-0.4,166,45.8
307,Andy Greene\greenan01,37,TOT,D,63,693,901,43.5,-4.8,524,651,44.6,-4.3,9.5,90.5,100.1,40.4,59.6,19:33,15:58,16,41,-7.4,124,48.4
308,Jordan Greenway\greenjo02,22,MIN,LW,67,683,661,50.8,1.7,508,477,51.6,2.4,10.3,90.2,100.5,46.4,53.6,14:10,12:48,41,30,6.0,162,57.4
309,Noah Gregor\gregono01,21,SJS,C,28,210,226,48.2,-5.3,144,174,45.3,-8.4,11.8,86.4,98.2,56.3,43.7,10:04,9:22,6,7,-4.6,64,51.6
310,Rocco Grimaldi\grimaro01,26,NSH,C,66,720,639,53.0,2.9,555,485,53.4,2.4,11.0,90.9,102.0,50.8,49.2,12:39,12:22,27,20,4.6,193,63.2
311,Jordan Gross\grossjo01,24,ARI,D,2,27,33,45.0,-8.6,21,29,42.0,-13.1,25.0,87.0,112.0,56.3,43.8,16:11,15:39,1,2,-1.0,5,60.0
312,Carl Grundstrom\grundca01,22,LAK,RW,13,161,128,55.7,2.3,115,95,54.8,2.4,12.0,90.3,102.3,51.5,48.5,12:46,12:19,0,4,-0.3,37,43.2
313,Matt Grzelcyk\grzelma01,26,BOS,D,68,797,743,51.8,1.7,618,532,53.7,4.2,10.3,92.7,103.0,54.7,45.3,18:04,15:17,22,39,5.7,209,53.6
314,Radko Gudas\gudasra01,29,WSH,D,63,680,668,50.4,-2.3,487,498,49.4,-3.4,14.0,88.5,102.5,47.1,52.9,16:43,13:48,23,34,-1.8,189,47.6
315,Erik Gudbranson\gudbrer01,28,TOT,D,51,664,665,50.0,1.2,505,505,50.0,1.5,10.3,89.1,99.4,40.6,59.4,19:22,16:46,0,33,-2.4,163,47.9
316,Jake Guentzel\guentja01,25,PIT,C,39,613,484,55.9,4.9,483,348,58.1,7.2,12.2,87.3,99.5,62.6,37.4,20:38,17:09,21,12,13.0,196,64.8
317,Brendan Guhle\guhlebr01,22,ANA,D,30,324,420,43.5,-4.6,246,300,45.1,-3.5,8.0,89.6,97.6,50.6,49.4,17:04,15:31,6,25,-2.3,90,43.3
318,Carl Gunnarsson\gunnaca01,33,STL,D,36,333,359,48.1,-2.0,251,268,48.4,-1.7,11.0,92.2,103.2,47.7,52.3,15:46,13:40,3,14,-0.1,51,60.8
319,Denis Gurianov\guriade01,22,DAL,RW,64,561,563,49.9,0.5,411,408,50.2,1.0,10.2,91.7,101.9,57.7,42.3,12:59,11:03,26,25,2.0,250,52.8
320,Nikita Gusev\gusevni01,27,NJD,LW,66,633,665,48.8,3.9,480,499,49.0,3.2,10.4,87.1,97.5,48.9,51.1,14:42,11:60,22,40,-5.9,270,58.5
321,David Gustafsson\gustada01,19,WPG,C,22,53,121,30.5,-20.0,36,89,28.8,-20.2,9.5,93.4,103.0,38.1,61.9,6:09,6:05,0,1,-3.3,10,40.0
322,Erik Gustafsson\gustaer02,27,TOT,D,66,906,915,49.8,1.4,661,705,48.4,0.5,12.5,88.5,100.9,56.1,43.9,20:23,17:22,21,58,-5.7,253,40.7
323,Gaetan Haas\haasga01,28,EDM,F,58,381,402,48.7,1.4,267,276,49.2,1.5,7.2,91.7,98.9,45.9,54.1,9:42,9:05,22,22,0.9,94,57.4
324,Brandon Hagel\hagelbr01,21,CHI,LW,1,7,9,43.8,-11.7,5,7,41.7,-22.2,20.0,85.7,105.7,50.0,50.0,11:48,11:48,1,0,-0.2,5,80.0
325,Carl Hagelin\hagelca01,31,WSH,LW,58,536,464,53.6,1.8,394,346,53.2,1.4,12.0,90.0,101.9,46.9,53.1,14:19,11:16,24,24,-0.6,154,69.5
326,Robert Hagg\haggro01,24,PHI,D,49,429,561,43.3,-10.0,322,401,44.5,-8.6,13.1,93.2,106.3,49.3,50.7,15:36,14:23,6,31,-3.9,98,38.8
327,Nicolas Hague\hagueni01,21,VEG,D,38,508,396,56.2,2.5,359,312,53.5,-0.4,12.2,86.0,98.1,63.8,36.2,16:05,15:04,13,10,4.3,136,39.7
328,Ron Hainsey\hainsro01,38,OTT,D,64,772,896,46.3,-3.3,557,655,46.0,-4.1,12.2,90.5,102.7,48.5,51.5,20:40,16:58,9,56,-6.7,109,39.4
329,Libor Hajek\hajekli01,21,NYR,D,28,258,436,37.2,-8.0,201,326,38.1,-7.7,11.5,90.2,101.7,41.8,58.2,15:59,14:55,8,17,-8.3,48,47.9
330,Jani Hakanpaa\hakanja01,27,ANA,D,5,55,57,49.1,4.3,36,39,48.0,2.3,8.7,93.3,102.0,48.8,51.2,18:07,16:23,0,1,-0.9,13,30.8
331,Micheal Haley\haleymi01,33,NYR,C,22,67,98,40.6,-6.7,54,75,41.9,-5.9,2.9,84.6,87.5,54.8,45.2,5:32,5:28,1,5,-1.7,14,64.3
332,Taylor Hall\hallta02,28,TOT,LW,65,813,840,49.2,1.6,624,645,49.2,1.4,10.1,87.6,97.7,52.8,47.2,19:10,15:28,41,52,3.4,387,59.9
333,Dan Hamhuis\hamhuda01,37,NSH,D,60,553,540,50.6,-0.6,427,394,52.0,0.4,9.5,90.8,100.3,49.6,50.4,14:31,11:56,9,34,-3.6,101,43.6
334,Dougie Hamilton\hamildo01,26,CAR,D,47,790,579,57.7,4.2,603,438,57.9,5.1,12.0,91.0,103.0,52.1,47.9,23:17,17:40,22,40,11.3,339,50.1
335,Travis Hamonic\hamontr01,29,CGY,D,50,720,754,48.8,-2.2,521,579,47.4,-3.0,11.5,88.3,99.8,45.2,54.8,21:10,17:40,21,36,-3.8,168,49.4
336,Noah Hanifin\hanifno01,23,CGY,D,70,1023,1001,50.5,0.2,746,792,48.5,-1.6,10.2,88.8,99.0,48.3,51.7,21:10,17:54,38,63,-1.4,269,49.1
